time,classification,threat,confidence,alertLevel,path,durationSec,avgMoveTime,nodeCount,pirCount,vibCount,minDistance
00:01:07,ANIMAL,MEDIUM,51,1,SOUTH,0.0,0.0,1,2,0,32.13
00:01:24,HUMAN,HIGH,50,3,WEST -> NORTH -> SOUTH -> WEST,6.97,2.32,3,6,0,12.16
00:02:56,ANIMAL,MEDIUM,49,1,SOUTH,0.0,0.0,1,3,0,16.55
00:03:14,HUMAN,HIGH,52,3,SOUTH -> WEST -> SOUTH,6.01,3.01,2,4,1,4.24
00:03:28,VEHICLE,HIGH,42,3,WEST -> SOUTH,0.85,0.85,2,3,0,16.73
00:03:43,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,32.13
00:05:33,VEHICLE,HIGH,52,3,SOUTH -> WEST,0.85,0.85,2,2,0,3.28
00:05:44,ANIMAL,MEDIUM,45,1,WEST,0.0,0.0,1,2,0,2.97
00:00:49,HUMAN,HIGH,46,3,SOUTH -> WEST -> SOUTH -> WEST,6.87,2.29,2,4,0,16.21
00:00:59,HUMAN,HIGH,43,3,SOUTH -> WEST -> SOUTH,5.77,2.89,2,4,0,10.79
00:01:14,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.19
00:01:26,VEHICLE,HIGH,53,3,SOUTH -> WEST -> NORTH,1.29,0.65,3,3,3,13.51
00:01:33,ANIMAL,MEDIUM,47,3,SOUTH,0.0,0.0,1,1,0,16.21
00:01:39,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.21
00:01:44,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.21
00:01:51,HUMAN,HIGH,38,3,SOUTH -> WEST,1.69,1.69,2,2,0,16.19
00:01:56,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.21
00:02:04,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.22
00:00:09,VEHICLE,HIGH,47,3,NORTH -> SOUTH,0.6,0.6,2,2,1,10.14
00:00:17,VEHICLE,HIGH,46,3,WEST -> NORTH,1.25,1.25,2,2,0,10.15
00:00:36,VEHICLE,CRITICAL,67,3,SOUTH -> WEST -> NORTH,0.45,0.22,3,0,3,10.14
00:00:44,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,17.03
00:00:50,HUMAN,HIGH,39,3,WEST -> SOUTH,1.25,1.25,2,3,0,17.03
00:01:01,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,17.03
00:00:08,HUMAN,HIGH,45,3,WEST -> SOUTH -> WEST,5.09,2.54,2,3,0,15.74
00:00:17,ANIMAL,MEDIUM,54,1,WEST,0.0,0.0,1,1,0,15.76
00:00:30,HUMAN,HIGH,55,2,WEST,0.0,0.0,1,2,2,16.07
00:00:38,HUMAN,HIGH,58,3,SOUTH,0.0,0.0,2,2,2,16.08
00:00:49,HUMAN,HIGH,39,3,SOUTH -> WEST,1.7,1.7,2,3,3,16.07
00:00:54,HUMAN,HIGH,36,3,SOUTH,0.0,0.0,1,1,1,16.07
00:01:00,ANIMAL,MEDIUM,54,1,SOUTH,0.0,0.0,1,1,0,16.07
00:00:05,HUMAN,HIGH,38,3,SOUTH -> WEST,0.44,0.44,2,2,0,16.71
00:00:52,VEHICLE,HIGH,45,3,SOUTH -> WEST,1.29,1.29,2,3,3,10.12
00:00:57,HUMAN,HIGH,60,3,SOUTH,0.0,0.0,2,1,2,16.21
00:00:11,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,5.85
00:00:17,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,27.42
00:00:25,HUMAN,HIGH,34,3,SOUTH,0.0,0.0,1,0,1,27.11
00:00:36,HUMAN,HIGH,36,3,SOUTH,0.0,0.0,1,1,1,16.21
00:01:00,HUMAN,HIGH,36,3,SOUTH,0.0,0.0,1,1,1,17.17
00:01:23,ANIMAL,MEDIUM,47,3,SOUTH,0.0,0.0,1,1,0,16.21
00:01:29,HUMAN,HIGH,36,3,SOUTH,0.0,0.0,1,1,1,16.84
00:01:58,ANIMAL,MEDIUM,47,3,SOUTH,0.0,0.0,1,1,0,16.53
00:02:03,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.53
00:02:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.53
00:02:31,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.21
00:02:37,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.53
00:02:44,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.21
00:03:02,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,8.09
00:00:33,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.21
00:00:39,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.22
00:00:45,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.22
00:02:22,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.22
00:00:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.88
00:00:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,17.18
00:00:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,26.26
00:00:43,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.86
00:00:49,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,7.79
00:00:55,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,17.2
00:01:36,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,7.46
00:00:08,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.86
00:00:40,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,17.18
00:00:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,17.51
00:00:44,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,7.46
00:00:20,ANIMAL,MEDIUM,46,2,EAST,0.0,0.0,1,1,0,3.62
00:01:00,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:01:13,VEHICLE,HIGH,53,3,SOUTH -> WEST -> NORTH,0.73,0.36,3,3,0,2.64
00:01:18,VEHICLE,HIGH,57,3,WEST -> NORTH -> SOUTH,0.18,0.09,3,2,3,2.01
00:01:24,VEHICLE,HIGH,53,3,SOUTH -> WEST -> NORTH,1.45,0.73,3,3,0,2.32
00:01:33,HUMAN,HIGH,54,3,SOUTH -> NORTH,0.0,0.0,2,3,3,14.53
00:02:18,HUMAN,HIGH,42,3,SOUTH -> NORTH,0.0,0.0,2,3,0,14.53
00:02:29,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:02:39,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:02:46,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:02:51,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:02:57,VEHICLE,HIGH,46,3,NORTH -> WEST,0.73,0.73,2,2,0,14.53
00:03:06,VEHICLE,HIGH,51,3,NORTH -> WEST -> SOUTH,2.35,1.18,3,3,2,7.07
00:03:11,VEHICLE,HIGH,46,3,WEST -> SOUTH,0.1,0.1,2,2,0,7.13
00:03:17,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,7.46
00:03:24,VEHICLE,HIGH,53,3,SOUTH -> NORTH -> WEST,1.49,0.75,3,3,0,7.07
00:03:29,ANIMAL,MEDIUM,46,2,NORTH,0.0,0.0,1,1,0,14.53
00:03:35,VEHICLE,HIGH,47,3,WEST -> NORTH,0.77,0.77,2,2,1,14.53
00:00:09,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,14.8
00:00:24,VEHICLE,HIGH,40,3,NORTH,0.0,0.0,1,1,1,14.87
00:00:32,VEHICLE,HIGH,46,3,NORTH -> WEST,1.45,1.45,2,2,0,14.87
00:00:37,ANIMAL,MEDIUM,46,2,WEST,0.0,0.0,1,1,0,13.4
00:00:46,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,14.87
00:00:52,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,10.37
00:00:58,ANIMAL,MEDIUM,46,2,SOUTH,0.0,0.0,1,1,0,10.37
00:02:00,VEHICLE,HIGH,46,3,WEST -> NORTH,1.45,1.45,2,2,0,14.85
00:02:05,ANIMAL,MEDIUM,46,2,WEST,0.0,0.0,1,1,0,14.85
00:00:09,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.22
00:00:39,VEHICLE,HIGH,40,3,SOUTH,0.0,0.0,1,1,1,4.24
00:00:46,ANIMAL,MEDIUM,52,2,SOUTH,0.0,0.0,1,1,0,16.53
